Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture)
339,0,0,197,0,968,781
339,0,0,197,0,968,781
236,0,0,194,0,968,885
236,0,0,194,0,968,885
236,0,0,194,0,968,885
236,0,0,194,0,968,885
236,0,0,193,0,968,885
236,0,0,193,0,968,885
277,0,0,191,0,968,856
277,0,0,191,0,968,856
277,0,0,191,0,968,856
277,0,0,191,0,968,856
277,0,0,191,0,968,856
277,0,0,191,0,968,856
254,0,0,198,0,968,863
254,0,0,198,0,968,863
254,0,0,198,0,968,863
254,0,0,198,0,968,863
307,0,0,193,0,968,812
307,0,0,193,0,968,812
307,0,0,193,0,968,812
307,0,0,193,0,968,812
307,0,0,193,0,968,812
236,0,0,193,0,968,885
200,0,0,180,0,1125,845
200,0,0,180,0,1125,845
225,0,0,181,0,1113,833
225,0,0,181,0,1113,833
325,0,0,184,0,1063,783
325,0,0,184,0,1063,783
275,0,0,183,0,1088,808
275,0,0,183,0,1088,808
300,0,0,184,0,1075,795
300,0,0,184,0,1075,795
375,0,0,186,0,1038,758
375,0,0,186,0,1038,758
400,0,0,187,0,1025,745
400,0,0,187,0,1025,745
250,0,0,182,0,1100,820
250,0,0,182,0,1100,820
350,0,0,186,0,1050,770
350,0,0,186,0,1050,770
203.5,305.3,0,203.5,0,963.4,630
250.2,166.8,0,203.5,0,977.6,694.1
157,236,0,192,0,935.4,781.2
141.3,212,0,203.5,0,971.8,748.5
166.8,250.2,0,203.5,0,975.6,692.6
122.6,183.9,0,203.5,0,958.2,800.1
183.9,122.6,0,203.5,0,959.2,800
102,153,0,192,0,887,942
102,153,0,192,0,887,942
122.6,183.9,0,203.5,0,958.2,800.1
166.8,250.2,0,203.5,0,975.6,692.6
200,133,0,192,0,965.4,806.2
108.3,162.4,0,203.5,0,938.2,849
305.3,203.5,0,203.5,0,965.4,631
108.3,162.4,0,203.5,0,938.2,849
116,173,0,192,0,909.8,891.9
141.3,212,0,203.5,0,971.8,748.5
157,236,0,192,0,935.4,781.2
133,200,0,192,0,927.4,839.2
250.2,166.8,0,203.5,0,977.6,694.1
173,116,0,192,0,946.8,856.8
192,288,0,192,0,929.8,716.1
192,288,0,192,0,929.8,716.1
153,102,0,192,0,888,943.1
288,192,0,192,0,932,717.8
305.3,203.5,0,203.5,0,965.4,631
236,157,0,192,0,972.6,749.1
173,116,0,192,0,946.8,856.8
212,141.3,0,203.5,0,973.4,750
236,157,0,192,0,972.6,749.1
183.9,122.6,0,203.5,0,959.2,800
166.8,250.2,0,203.5,0,975.6,692.6
102,153,0,192,0,887,942
288,192,0,192,0,932,717.8
212,141.3,0,203.5,0,973.4,750
102,153,0,192,0,887,942
173,116,0,192,0,946.8,856.8
183.9,122.6,0,203.5,0,959.2,800
133,200,0,192,0,927.4,839.2
192,288,0,192,0,929.8,716.1
133,200,0,192,0,927.4,839.2
305.3,203.5,0,203.5,0,965.4,631
236,157,0,192,0,972.6,749.1
108.3,162.4,0,203.5,0,938.2,849
157,236,0,192,0,935.4,781.2
288,192,0,192,0,932,717.8
212,141.3,0,203.5,0,973.4,750
212,141.3,0,203.5,0,973.4,750
153,102,0,192,0,888,943.1
236,157,0,192,0,972.6,749.1
116,173,0,192,0,909.8,891.9
183.9,122.6,0,203.5,0,959.2,800
108.3,162.4,0,203.5,0,938.2,849
203.5,305.3,0,203.5,0,963.4,630
203.5,305.3,0,203.5,0,963.4,630
133,200,0,192,0,927.4,839.2
288,192,0,192,0,932,717.8
200,133,0,192,0,965.4,806.2
200,133,0,192,0,965.4,806.2
250.2,166.8,0,203.5,0,977.6,694.1
122.6,183.9,0,203.5,0,958.2,800.1
153,102,0,192,0,888,943.1
200,133,0,192,0,965.4,806.2
116,173,0,192,0,909.8,891.9
173,116,0,192,0,946.8,856.8
250.2,166.8,0,203.5,0,977.6,694.1
305.3,203.5,0,203.5,0,965.4,631
192,288,0,192,0,929.8,716.1
157,236,0,192,0,935.4,781.2
153,102,0,192,0,888,943.1
141.3,212,0,203.5,0,971.8,748.5
116,173,0,192,0,909.8,891.9
141.3,212,0,203.5,0,971.8,748.5
122.6,183.9,0,203.5,0,958.2,800.1
166.8,250.2,0,203.5,0,975.6,692.6
203.5,305.3,0,203.5,0,963.4,630
310,0,0,192,0,1012,830
310,0,0,192,0,1012,830
310,0,0,192,0,1012,830
310,0,0,192,0,1012,830
310,0,0,192,0,1012,830
331,0,0,192,0,1025,821
331,0,0,192,0,1025,821
331,0,0,192,0,1025,821
331,0,0,192,0,1025,821
331,0,0,192,0,1025,821
349,0,0,192,0,1056,809
349,0,0,192,0,1056,809
349,0,0,192,0,1056,809
349,0,0,192,0,1056,809
349,0,0,192,0,1056,809
238,0,0,186,0,1119,789
238,0,0,186,0,1119,789
296,0,0,186,0,1090,769
296,0,0,186,0,1090,769
297,0,0,186,0,1040,734
480,0,0,192,0,936,721
480,0,0,192,0,936,721
397,0,0,186,0,1040,734
281,0,0,186,0,1104,774
281,0,0,185,0,1104,774
500,0,0,200,0,1125,613
500,0,0,200,0,1125,613
500,0,0,200,0,1125,613
500,0,0,200,0,1125,613
500,0,0,200,0,1125,613
540,0,0,173,0,1125,613
540,0,0,173,0,1125,613
540,0,0,173,0,1125,613
540,0,0,173,0,1125,613
540,0,0,173,0,1125,613
540,0,0,173,0,1125,613
350,0,0,203,0,974,775
350,0,0,203,0,974,775
350,0,0,203,0,974,775
350,0,0,203,0,974,775
350,0,0,203,0,974,775
350,0,0,203,0,974,775
385,0,0,186,0,966,763
385,0,0,186,0,966,763
385,0,0,186,0,966,763
385,0,0,186,0,966,763
385,0,0,186,0,966,763
331,0,0,192,0,978,825
331,0,0,192,0,978,825
349,0,0,192,0,1047,806
331,0,0,192,0,978,825
382,0,0,186,0,1047,739
382,0,0,186,0,1047,739
382,0,0,186,0,1111,784
281,0,0,186,0,1104,774
339,0,0,185,0,1069,754
339,0,0,185,0,1069,754
295,0,0,185,0,1069,769
295,0,0,185,0,1069,769
238,0,0,185,0,1118,789
296,0,0,192,0,1085,765
296,0,0,192,0,1085,765
296,0,0,192,0,1085,765
331,0,0,192,0,879,825
331,0,0,192,0,978,825
331,0,0,192,0,978,825
331,0,0,192,0,978,825
349,0,0,192,0,1047,806
349,0,0,192,0,1047,806
349,0,0,192,0,1047,806
349,0,0,192,0,1047,806
349,0,0,192,0,1047,806
302,0,0,203,0,974,817
302,0,0,203,0,974,817
525,0,0,189,0,1125,613
500,0,0,200,0,1125,613
500,0,0,200,0,1125,613
500,0,0,200,0,1125,613
540,0,0,173,0,1125,613
252,0,0,185,0,1111,784
252,0,0,185,0,1111,784
339,0,0,185,0,1060,754
393,0,0,192,0,940,758
393,0,0,192,0,940,758
393,0,0,192,0,940,758
382,0,0,185,0,1047,739
382,0,0,185,0,1047,739
252,0,0,186,0,1111,784
252,0,0,185,0,1111,784
310,0,0,192,0,970,850
310,0,0,192,0,970,850
310,0,0,192,0,970,850
310,0,0,192,0,970,850
310,0,0,192,0,970,850
525,0,0,189,0,1125,613
525,0,0,189,0,1125,613
525,0,0,189,0,1125,613
525,0,0,189,0,1125,613
525,0,0,189,0,1125,613
525,0,0,189,0,1125,613
322,0,0,203,0,974,800
322,0,0,203,0,974,800
322,0,0,203,0,974,800
302,0,0,203,0,974,817
397,0,0,185,0,1040,734
480,0,0,192,0,936,721
522,0,0,146,0,896,896
522,0,0,146,0,896,896
273,105,82,210,9,904,680
162,190,148,179,19,838,741
154,144,112,220,10,923,658
147,115,89,202,9,860,829
152,178,139,168,18,944,695
310,143,111,168,22,914,651
144,0,175,158,18,943,844
304,140,0,214,6,895,722
374,0,0,190,7,1013,730
159,149,116,175,15,953,720
153,239,0,200,6,1002,684
310,143,0,168,10,914,804
305,0,100,196,10,959,705
151,0,184,167,12,991,772
142,167,130,174,11,883,785
298,137,107,201,6,878,655
321,164,0,190,5,870,774
366,187,0,191,7,824,757
280,129,100,172,9,825,805
252,97,76,194,8,835,821
165,0,150,182,12,1023,729
156,243,0,180,11,1022,698
160,188,146,203,11,829,710
298,0,107,186,6,879,815
318,0,126,210,6,861,737
287,121,94,188,9,904,696
326,166,0,174,9,882,790
356,0,142,193,11,801,778
132,207,161,179,5,867,736
322,149,0,186,8,951,709
164,0,200,181,13,849,846
314,0,113,170,10,925,783
321,0,128,182,11,870,780
140,164,128,237,6,869,656
288,121,0,177,7,908,829
298,0,107,210,11,880,744
265,111,86,195,6,833,790
160,250,0,168,12,1049,688
166,260,0,183,13,859,827
276,116,90,180,9,870,768
322,0,116,196,10,818,813
149,139,109,193,6,892,780
159,187,0,176,11,990,789
261,100,78,201,9,864,761
237,92,71,247,6,853,695
313,0,113,178,8,1002,689
155,183,0,193,9,1047,697
146,230,0,202,3,827,872
296,0,107,221,11,819,778
133,210,0,196,3,949,795
313,145,0,178,8,867,824
152,0,112,184,8,992,816
153,145,113,178,8,1002,689
140,133,103,200,7,916,753
149,236,0,176,13,847,893
300,0,120,212,10,878,728
153,145,113,178,8,867,824
148,0,137,158,16,1002,830
326,0,138,199,11,801,792
153,145,0,178,8,1000,822
262,111,86,195,5,895,733
158,0,195,220,11,898,713
151,0,185,167,16,1074,678
273,0,90,199,11,931,762
149,118,92,183,7,953,780
143,169,143,191,8,967,643
260,101,78,171,10,936,763
313,161,0,178,10,917,759
284,120,0,168,7,970,794
336,0,0,182,3,986,817
145,0,134,181,11,979,812
150,237,0,174,12,1069,675
144,170,133,192,8,814,805
331,170,0,195,8,811,802
155,0,143,193,9,1047,697
155,183,0,193,9,877,868
135,0,166,180,10,961,805
266,112,87,178,10,910,745
314,145,113,179,8,869,690
313,145,0,127,8,1000,822
146,173,0,182,3,986,817
144,136,106,178,7,941,774
148,0,182,181,15,839,884
277,117,91,191,7,946,666
298,0,107,164,13,953,784
313,145,0,178,8,1002,689
155,184,143,194,9,880,699
289,134,0,195,6,924,760
148,175,0,171,2,1000,828
145,0,179,202,8,824,869
313,0,0,178,8,1000,822
136,162,126,172,10,923,764
155,0,143,193,9,877,868
255,99,77,189,6,919,749
162,207,172,216,10,822,638
136,196,98,199,6,847,783
164,163,128,197,8,961,641
162,214,164,202,10,820,680
157,214,152,200,9,819,704
149,153,194,192,8,935,623
135,105,193,196,6,965,643
159,209,161,201,7,848,669
144,15,195,176,6,1021,709
154,174,185,228,7,845,612
167,187,195,185,7,898,636
184,86,190,213,6,923,623
156,178,187,221,7,854,614
236.9,91.7,71.5,246.9,6,852.9,695.4
313.3,0,113,178.5,8,1001.9,688.7
154.8,183.4,0,193.3,9.1,1047.4,696.7
145.9,230.5,0,202.5,3.4,827,871.8
296,0,106.7,221.4,10.5,819.2,778.4
133.1,210.2,0,195.7,3.1,949.4,795.3
313.3,145,0,178.5,8,867.2,824
151.6,0,111.9,184.4,7.9,992,815.9
153.1,145,113,178.5,8,1001.9,688.7
139.9,132.6,103.3,200.3,7.4,916,753.4
149.5,236,0,175.8,12.6,846.8,892.7
299.8,0,119.8,211.5,9.9,878.2,727.6
153.1,145,113,178.5,8,867.2,824
148.1,0,136.6,158.1,16.1,1001.8,830.1
326.5,0,137.9,199,10.8,801.1,792.5
152.7,144.7,0,178.1,8,999.7,822.2
261.9,110.5,86.1,195.4,5,895.2,732.6
158.4,0,194.9,219.7,11,897.7,712.9
150.7,0,185.3,166.7,15.6,1074.5,678
272.6,0,89.6,198.7,10.6,931.3,762.2
149,117.6,91.7,182.9,7.1,953.4,780.3
143,169.4,142.7,190.7,8.4,967.4,643.5
259.9,100.6,78.4,170.6,10.4,935.7,762.9
312.9,160.5,0,177.6,9.6,916.6,759.5
284,119.7,0,168.3,7.2,970.4,794.2
336.5,0,0,181.9,3.4,985.8,816.8
144.8,0,133.6,180.8,11.1,979.5,811.5
150,236.8,0,173.8,11.9,1069.3,674.8
143.7,170.2,132.6,191.6,8.5,814.1,805.3
330.5,169.6,0,194.9,8.1,811,802.3
154.8,0,142.8,193.3,9.1,1047.4,696.7
154.8,183.4,0,193.3,9.1,877.2,867.7
134.7,0,165.7,180.2,10,961,804.9
266.2,112.3,87.5,177.9,10.4,909.7,744.5
314,145.3,113.2,178.9,8,869.1,690.2
312.7,144.7,0,127.3,8,999.7,822.2
145.7,172.6,0,181.9,3.4,985.8,816.8
143.8,136.3,106.2,178.1,7.5,941.5,774.3
148.1,0,182.1,181.4,15,838.9,884.3
277,116.8,91,190.6,7,946.5,665.6
298.1,0,107.5,163.6,12.8,953.2,784
313.3,145,0,178.5,8,1001.9,688.7
155.2,183.9,143.2,193.8,9.2,879.6,698.5
289,133.7,0,194.9,5.5,924.1,760.1
147.8,175.1,0,171.2,2.2,1000,828.5
145.4,0,178.9,201.7,7.8,824,868.7
312.7,0,0,178.1,8,999.7,822.2
136.4,161.6,125.8,171.6,10.4,922.6,764.4
154.8,0,142.8,193.3,9.1,877.2,867.7
255.3,98.8,77,188.6,6.5,919,749.3
272.8,105.1,81.8,209.7,9,904,679.7
162,190.1,148.1,178.8,18.8,838.1,741.4
153.6,144.2,112.3,220.1,10.1,923.2,657.9
146.5,114.6,89.3,201.9,8.8,860,829.5
151.8,178.1,138.7,167.5,18.3,944,694.6
309.9,142.8,111.2,167.8,22.1,913.9,651.2
143.6,0,174.9,158.4,17.9,942.7,844.5
303.6,139.9,0,213.5,6.2,895.5,722.5
374.3,0,0,190.2,6.7,1013.2,730.4
158.6,148.9,116,175.1,15,953.3,719.7
152.6,238.7,0,200,6.3,1001.8,683.9
310,142.8,0,167.9,10,914.3,804
304.8,0,99.6,196,9.8,959.4,705.2
150.9,0,183.9,166.6,11.6,991.2,772.2
141.9,166.6,129.7,173.5,10.9,882.6,785.3
297.8,137.2,106.9,201.3,6,878.4,655.3
321.3,164.2,0,190.5,4.6,870,774
366,187,0,191.3,6.6,824.3,756.9
279.8,128.9,100.4,172.4,9.5,825.1,804.9
252.1,97.1,75.6,193.8,8.3,835.5,821.4
164.6,0,150.4,181.6,11.7,1023.3,728.9
155.6,243.5,0,180.3,10.7,1022,697.7
160.2,188,146.4,203.2,11.3,828.7,709.7
298.1,0,107,186.4,6.1,879,815.2
317.9,0,126.5,209.7,5.7,860.5,736.6
287.3,120.5,93.9,187.6,9.2,904.4,695.9
325.6,166.4,0,174,8.9,881.6,790
355.9,0,141.6,193.3,11,801.4,778.4
132,206.5,160.9,178.9,5.5,866.9,735.6
322.5,148.6,0,185.8,8.5,951,709.5
164.2,0,200.1,181.2,12.6,849.3,846
313.8,0,112.6,169.9,10.1,925.3,782.9
321.4,0,127.9,182.5,11.5,870.1,779.7
139.7,163.9,127.7,236.7,5.8,868.6,655.6
288.4,121,0,177.4,7,907.9,829.5
298.2,0,107,209.7,11.1,879.6,744.2
264.5,111,86.5,195.5,5.9,832.6,790.4
159.8,250,0,168.4,12.2,1049.3,688.2
166,259.7,0,183.2,12.7,858.8,826.8
276.4,116,90.3,179.6,8.9,870.1,768.3
322.2,0,115.6,196,10.4,817.9,813.4
148.5,139.4,108.6,192.7,6.1,892.4,780
159.1,186.7,0,175.6,11.3,989.6,788.9
260.9,100.5,78.3,200.6,8.6,864.5,761.5
